index,English,Indonesian,ParseTree,Complexity,English_normalized,Indonesian_normalized
3922,What's the scariest thing that ever happened to you?,Hal menakutkan apa yang pernah kamu alami?,(SBARQ (WHNP (WP What)) (SQ (VP (VBZ 's) (NP (NP (DT the) (JJS scariest) (NN thing)) (SBAR (WHNP (WDT that)) (S (ADVP (RB ever)) (VP (VBD happened) (PP (IN to) (NP (PRP you))))))))) (. ?)),complex,what s the scariest thing that ever happened to you ?,hal menakutkan apa yang pernah kamu alami ?
1417,Tom died from lack of oxygen.,Tom meninggal karena kekurangan oksigen.,(S (NP (NNP Tom)) (VP (VBD died) (PP (IN from) (NP (NP (NN lack)) (PP (IN of) (NP (NN oxygen)))))) (. .)),simple,tom died from lack of oxygen .,tom meninggal karena kekurangan oksigen .
4189,The drivers began arguing about who was to blame for the accident.,Para sopir itu mulai berdebat siapa yang salah dalam kecelakaan itu.,(S (NP (DT The) (NNS drivers)) (VP (VBD began) (S (VP (VBG arguing) (PP (IN about) (SBAR (WHNP (WP who)) (S (VP (VBD was) (S (VP (TO to) (VP (VB blame) (PP (IN for) (NP (DT the) (NN accident))))))))))))) (. .)),complex,the drivers began arguing about who was to blame for the accident .,para sopir itu mulai berdebat siapa yang salah dalam kecelakaan itu .
2355,I go to bed at around ten at night.,Aku pergi tidur sekitar jam sepuluh malam.,(S (NP (PRP I)) (VP (VBP go) (PP (IN to) (NP (NN bed))) (PP (IN at) (NP (RB around) (CD ten))) (PP (IN at) (NP (NN night)))) (. .)),simple,i go to bed at around ten at night .,aku pergi tidur sekitar jam sepuluh malam .
1397,Thank you for your hard work.,Terima kasih atas kerja kerasmu.,(S (VP (VB Thank) (NP (PRP you)) (PP (IN for) (NP (PRP$ your) (JJ hard) (NN work)))) (. .)),simple,thank you for your hard work .,terima kasih atas kerja kerasmu .
4099,Mary always assists her boyfriend in doing his assignments.,Mary selalu membantu pacarnya mengerjakan tugas.,(S (NP (NNP Mary)) (ADVP (RB always)) (VP (VBZ assists) (NP (PRP$ her) (NN boyfriend)) (PP (IN in) (S (VP (VBG doing) (NP (PRP$ his) (NNS assignments)))))) (. .)),simple,mary always assists her boyfriend in doing his assignments .,mary selalu membantu pacarnya mengerjakan tugas .
2602,Tom may talk to Mary if he wants to.,Tom akan berbicara dengan Mary jika dia ingin.,(S (NP (NNP Tom)) (VP (MD may) (VP (VB talk) (PP (IN to) (NP (NNP Mary))) (SBAR (IN if) (S (NP (PRP he)) (VP (VBZ wants) (S (VP (TO to)))))))) (. .)),complex,tom may talk to mary if he wants to .,tom akan berbicara dengan mary jika dia ingin .
1505,I don't want to live with you.,Aku tidak ingin hidup denganmu.,(S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB want) (S (VP (TO to) (VP (VB live) (PP (IN with) (NP (PRP you)))))))) (. .)),simple,i don t want to live with you .,aku tidak ingin hidup denganmu .
2707,This book is suitable for your needs.,Buku ini sesuai dengan kebutuhanmu.,(S (NP (DT This) (NN book)) (VP (VBZ is) (ADJP (JJ suitable) (PP (IN for) (NP (PRP$ your) (NNS needs))))) (. .)),simple,this book is suitable for your needs .,buku ini sesuai dengan kebutuhanmu .
124,Tom sat beside me.,Tom duduk di sampingku.,(S (NP (NNP Tom)) (VP (VBD sat) (PP (IN beside) (NP (PRP me)))) (. .)),simple,tom sat beside me .,tom duduk di sampingku .
2750,You can't lift the piano by yourself.,Kau tidak bisa mengangkat pianonya seorang diri.,(S (NP (PRP You)) (VP (MD ca) (RB n't) (VP (VB lift) (NP (DT the) (NN piano)) (PP (IN by) (NP (PRP yourself))))) (. .)),simple,you can t lift the piano by yourself .,kau tidak bisa mengangkat pianonya seorang diri .
3176,The museum is open from Monday to Friday.,Museum ini buka dari Senin hingga Jumat.,(S (NP (DT The) (NN museum)) (VP (VBZ is) (ADJP (JJ open)) (PP (PP (IN from) (NP (NNP Monday))) (PP (IN to) (NP (NNP Friday))))) (. .)),simple,the museum is open from monday to friday .,museum ini buka dari senin hingga jumat .
817,We've got plenty of food.,Kami punya banyak makanan.,(S (NP (PRP We)) (VP (VBP 've) (VP (VBN got) (NP (NP (NN plenty)) (PP (IN of) (NP (NN food)))))) (. .)),simple,we ve got plenty of food .,kami punya banyak makanan .
1017,I have no time for reading.,Aku gak punya waktu untuk membaca.,(S (NP (PRP I)) (VP (VBP have) (NP (NP (DT no) (NN time)) (PP (IN for) (NP (VBG reading))))) (. .)),simple,i have no time for reading .,aku gak punya waktu untuk membaca .
1566,The candle went out by itself.,Lilinnya mati sendiri.,(S (NP (DT The) (NN candle)) (VP (VBD went) (PRT (RP out)) (PP (IN by) (NP (PRP itself)))) (. .)),simple,the candle went out by itself .,lilinnya mati sendiri .
2555,She advises me on technical matters.,Dia memberitahuku tentang masalah-masalah teknis.,(S (NP (PRP She)) (VP (VBZ advises) (NP (PRP me)) (PP (IN on) (NP (JJ technical) (NNS matters)))) (. .)),simple,she advises me on technical matters .,dia memberitahuku tentang masalah masalah teknis .
2585,They stayed at the hotel for a week.,Mereka tinggal di hotel selama seminggu.,(S (NP (PRP They)) (VP (VBD stayed) (PP (IN at) (NP (DT the) (NN hotel))) (PP (IN for) (NP (DT a) (NN week)))) (. .)),simple,they stayed at the hotel for a week .,mereka tinggal di hotel selama seminggu .
429,What's in your pocket?,Apa yang ada di dalam kantongmu?,(SBARQ (WHNP (WP What)) (SQ (VP (VBZ 's) (PP (IN in) (NP (PRP$ your) (NN pocket))))) (. ?)),simple,what s in your pocket ?,apa yang ada di dalam kantongmu ?
1839,He's been teaching for 20 years.,Ia sudah mengajar selama 20 tahun.,(S (NP (PRP He)) (VP (VBZ 's) (VP (VBN been) (VP (VBG teaching) (PP (IN for) (NP (CD 20) (NNS years)))))) (. .)),simple,he s been teaching for years .,ia sudah mengajar selama tahun .
665,What are you hoping for?,Apa harapanmu?,(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (PRP you)) (VP (VBG hoping) (PP (IN for)))) (. ?)),simple,what are you hoping for ?,apa harapanmu ?
3838,What kind of person do you want to get married to?,Dengan orang yang seperti apa Anda ingin menikah?,(SBARQ (WHNP (WHNP (WP What) (NN kind)) (PP (IN of) (NP (NN person)))) (SQ (VBP do) (NP (PRP you)) (VP (VB want) (S (VP (TO to) (VP (VB get) (VP (VBN married) (PP (IN to)))))))) (. ?)),simple,what kind of person do you want to get married to ?,dengan orang yang seperti apa anda ingin menikah ?
2576,There are sixty seconds in a minute.,Ada enam puluh detik dalam satu menit.,(S (NP (EX There)) (VP (VBP are) (NP (NP (CD sixty) (NNS seconds)) (PP (IN in) (NP (DT a) (NN minute))))) (. .)),simple,there are sixty seconds in a minute .,ada enam puluh detik dalam satu menit .
2176,He took a book from the bookshelf.,Dia mengambil sebuah buku dari rak buku.,(S (NP (PRP He)) (VP (VBD took) (NP (DT a) (NN book)) (PP (IN from) (NP (DT the) (NN bookshelf)))) (. .)),simple,he took a book from the bookshelf .,dia mengambil sebuah buku dari rak buku .
1161,I was absent from the party.,Aku tidak hadir dalam pesta itu.,(S (NP (PRP I)) (VP (VBD was) (ADJP (JJ absent) (PP (IN from) (NP (DT the) (NN party))))) (. .)),simple,i was absent from the party .,aku tidak hadir dalam pesta itu .
442,Do one thing at a time.,Kerjakan satu hal dalam satu waktu.,(S (VP (VB Do) (NP (CD one) (NN thing)) (PP (IN at) (NP (DT a) (NN time)))) (. .)),simple,do one thing at a time .,kerjakan satu hal dalam satu waktu .
1350,I stood behind the open door.,Aku berdiri di belakang pintu yang terbuka.,(S (NP (PRP I)) (VP (VBD stood) (PP (IN behind) (NP (DT the) (JJ open) (NN door)))) (. .)),simple,i stood behind the open door .,aku berdiri di belakang pintu yang terbuka .
1334,I don't want to go to school.,Aku tidak mau pergi ke sekolah.,(S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB want) (S (VP (TO to) (VP (VB go) (PP (IN to) (NP (NN school)))))))) (. .)),simple,i don t want to go to school .,aku tidak mau pergi ke sekolah .
1221,There's a rat in the garage.,Ada tikus di garasi.,(S (NP (EX There)) (VP (VBZ 's) (NP (DT a) (NN rat)) (PP (IN in) (NP (DT the) (NN garage)))) (. .)),simple,there s a rat in the garage .,ada tikus di garasi .
433,Who am I talking with?,Dengan siapa saya bicara?,(SBARQ (WHNP (WP Who)) (SQ (VBP am) (NP (PRP I)) (VP (VBG talking) (PP (IN with)))) (. ?)),simple,who am i talking with ?,dengan siapa saya bicara ?
2135,We're a little worried about Tom.,Kami sedikit khawatir dengan Tom.,(S (NP (PRP We)) (VP (VBP 're) (ADJP (NP (DT a) (JJ little)) (JJ worried) (PP (IN about) (NP (NNP Tom))))) (. .)),simple,we re a little worried about tom .,kami sedikit khawatir dengan tom .
1779,Tom walked toward the entrance.,Tom berjalan menuju pintu masuk.,(S (NP (NNP Tom)) (VP (VBD walked) (PP (IN toward) (NP (DT the) (NN entrance)))) (. .)),simple,tom walked toward the entrance .,tom berjalan menuju pintu masuk .
387,Let's have a go at it.,Mari kita mencobanya.,(S (VP (VB Let) (S (NP (PRP 's)) (VP (VB have) (NP (DT a) (NN go)) (PP (IN at) (NP (PRP it)))))) (. .)),simple,let s have a go at it .,mari kita mencobanya .
30,Give it to him.,Berikan padanya.,(S (VP (VB Give) (NP (PRP it)) (PP (IN to) (NP (PRP him)))) (. .)),simple,give it to him .,berikan padanya .
3570,Croatia is in the southeastern part of Europe.,Kroasia berada di bagian tenggara Eropa.,(S (NP (NNP Croatia)) (VP (VBZ is) (PP (IN in) (NP (NP (DT the) (JJ southeastern) (NN part)) (PP (IN of) (NP (NNP Europe)))))) (. .)),simple,croatia is in the southeastern part of europe .,kroasia berada di bagian tenggara eropa .
4173,Three hundred and fifteen pink rabbits marched along the highway.,Tiga ratus lima belas ekor kelinci merah muda berbaris di sepanjang jalan raya.,(S (NP (QP (CD Three) (CD hundred) (CC and) (CD fifteen)) (JJ pink) (NNS rabbits)) (VP (VBD marched) (PP (IN along) (NP (DT the) (NN highway)))) (. .)),simple,three hundred and fifteen pink rabbits marched along the highway .,tiga ratus lima belas ekor kelinci merah muda berbaris di sepanjang jalan raya .
203,I'll lend it to you.,Aku akan meminjamkannya padamu.,(S (NP (PRP I)) (VP (MD 'll) (VP (VB lend) (NP (PRP it)) (PP (IN to) (NP (PRP you))))) (. .)),simple,i ll lend it to you .,aku akan meminjamkannya padamu .
1532,It all depends on the weather.,Semua tergantung cuaca.,(S (NP (NP (PRP It)) (NP (DT all))) (VP (VBZ depends) (PP (IN on) (NP (DT the) (NN weather)))) (. .)),simple,it all depends on the weather .,semua tergantung cuaca .
1330,I commute to work by bicycle.,Saya pergi kerja naik sepeda.,(S (NP (PRP I)) (VP (VBP commute) (PP (IN to) (NP (NN work))) (PP (IN by) (NP (NN bicycle)))) (. .)),simple,i commute to work by bicycle .,saya pergi kerja naik sepeda .
3035,Koalas sleep for 18 to 22 hours per day.,Koala tidur selama 18 hingga 22 jam per hari.,(S (NP (NNS Koalas)) (VP (VBP sleep) (PP (IN for) (NP (NP (QP (CD 18) (IN to) (CD 22)) (NNS hours)) (PP (IN per) (NP (NN day)))))) (. .)),simple,koalas sleep for to hours per day .,koala tidur selama hingga jam per hari .
4219,"""Say 'I love you' in French."" ""Je t'aime."" ""Thank you, I love you, too.""","""Katakan 'Aku mencintaimu' dalam bahasa Prancis."" ""Je t'aime."" ""Terima kasih, aku juga mencintaimu.""","(S (`` "") (VP (VB Say) (`` ') (S (NP (PRP I)) (VP (VBP love) (NP (PRP you)))) ('' ') (PP (IN in) (NP (NNP French)))) (. .) ('' "") ('' ""))",simple, say i love you in french . je t aime . thank you i love you too . , katakan aku mencintaimu dalam bahasa prancis . je t aime . terima kasih aku juga mencintaimu . 
324,You did that in 2013.,Kamu melakukan itu pada tahun 2013.,(S (NP (PRP You)) (VP (VBD did) (NP (DT that)) (PP (IN in) (NP (CD 2013)))) (. .)),simple,you did that in .,kamu melakukan itu pada tahun .
2302,What do you usually do on Sundays?,Apa yang biasa kamu lakukan pada hari Minggu?,(SBARQ (WHNP (WP What)) (SQ (VBP do) (NP (PRP you)) (ADVP (RB usually)) (VP (VB do) (PP (IN on) (NP (NNS Sundays))))) (. ?)),simple,what do you usually do on sundays ?,apa yang biasa kamu lakukan pada hari minggu ?
805,Tom was executed at dawn.,Tom dihukum mati saat subuh.,(S (NP (NNP Tom)) (VP (VBD was) (VP (VBN executed) (PP (IN at) (NP (NN dawn))))) (. .)),simple,tom was executed at dawn .,tom dihukum mati saat subuh .
1074,That's all Tom talks about.,Itulah yang dibicarakan oleh Tom.,(S (NP (DT That)) (VP (VBZ 's) (NP (NP (DT all)) (SBAR (S (NP (NNP Tom)) (VP (VBZ talks) (PP (IN about))))))) (. .)),complex,that s all tom talks about .,itulah yang dibicarakan oleh tom .
2369,I want to listen to Japanese music.,Saya ingin mendengarkan musik Jepang.,(S (NP (PRP I)) (VP (VBP want) (S (VP (TO to) (VP (VB listen) (PP (IN to) (NP (JJ Japanese) (NN music))))))) (. .)),simple,i want to listen to japanese music .,saya ingin mendengarkan musik jepang .
2387,It's not like you to cry at movies.,Ini tidak seperti kamu menangis di bioskop.,(S (NP (NP (PRP It))) (VP (VBZ 's) (RB not) (SBAR (IN like) (S (NP (PRP you)) (VP (TO to) (VP (VB cry) (PP (IN at) (NP (NNS movies)))))))) (. .)),complex,it s not like you to cry at movies .,ini tidak seperti kamu menangis di bioskop .
2245,The car is in front of the garage.,Mobil itu di depan garasi.,(S (NP (DT The) (NN car)) (VP (VBZ is) (PP (IN in) (NP (NP (NN front)) (PP (IN of) (NP (DT the) (NN garage)))))) (. .)),simple,the car is in front of the garage .,mobil itu di depan garasi .
3013,How many schools are there in your city?,Ada berapa sekolah di kotamu?,(SBARQ (WHNP (WHADJP (WRB How) (JJ many)) (NNS schools)) (SQ (VBP are) (ADVP (RB there)) (PP (IN in) (NP (PRP$ your) (NN city)))) (. ?)),simple,how many schools are there in your city ?,ada berapa sekolah di kotamu ?
478,I'm thinking about you.,Aku memikirkan tentang dirimu.,(S (NP (PRP I)) (VP (VBP 'm) (VP (VBG thinking) (PP (IN about) (NP (PRP you))))) (. .)),simple,i m thinking about you .,aku memikirkan tentang dirimu .
426,What happened in 2013?,Apa yang terjadi pada tahun 2013?,(SBARQ (WHNP (WP What)) (S (VP (VBD happened) (PP (IN in) (NP (CD 2013))))) (. ?)),simple,what happened in ?,apa yang terjadi pada tahun ?
4237,You should apologize to your father for not getting home in time for dinner.,Kamu harus minta maaf pada ayahmu karena tidak pulang tepat waktu untuk makan malam.,(S (NP (PRP You)) (VP (MD should) (VP (VB apologize) (PP (IN to) (NP (PRP$ your) (NN father))) (PP (IN for) (S (RB not) (VP (VBG getting) (ADVP (NN home)) (PP (IN in) (NP (NP (NN time)) (PP (IN for) (NP (NN dinner)))))))))) (. .)),simple,you should apologize to your father for not getting home in time for dinner .,kamu harus minta maaf pada ayahmu karena tidak pulang tepat waktu untuk makan malam .
2668,I will write to you as soon as I can.,Aku akan menulis surat untukmu sesegera mungkin.,(S (NP (PRP I)) (VP (MD will) (VP (VB write) (PP (IN to) (NP (PRP you))) (ADVP (ADVP (RB as) (RB soon)) (SBAR (IN as) (S (NP (PRP I)) (VP (MD can))))))) (. .)),complex,i will write to you as soon as i can .,aku akan menulis surat untukmu sesegera mungkin .
443,Don't listen to anyone.,Jangan dengarkan siapa-siapa.,(S (VP (VBP Do) (RB n't) (VP (VB listen) (PP (IN to) (NP (NN anyone))))) (. .)),simple,don t listen to anyone .,jangan dengarkan siapa siapa .
1025,I know nothing about Linux.,Saya tidak tahu apa-apa tentang Linux.,(S (NP (PRP I)) (VP (VBP know) (NP (NP (NN nothing)) (PP (IN about) (NP (NNP Linux))))) (. .)),simple,i know nothing about linux .,saya tidak tahu apa apa tentang linux .
668,What did both of you do?,Apa yang kalian berdua lakukan?,(SBARQ (WHNP (WP What)) (SQ (VBD did) (NP (NP (DT both)) (PP (IN of) (NP (PRP you)))) (VP (VB do))) (. ?)),simple,what did both of you do ?,apa yang kalian berdua lakukan ?
4078,That species of bird is said to be in danger of dying out.,Spesies burung itu dikatakan terancam punah.,(S (NP (NP (DT That) (NN species)) (PP (IN of) (NP (NN bird)))) (VP (VBZ is) (VP (VBN said) (S (VP (TO to) (VP (VB be) (PP (IN in) (NP (NP (NN danger)) (PP (IN of) (S (VP (VBG dying) (PRT (RP out)))))))))))) (. .)),simple,that species of bird is said to be in danger of dying out .,spesies burung itu dikatakan terancam punah .
1729,She's looking for a better job.,Dia sedang mencari pekerjaan yang lebih baik.,(S (NP (PRP She)) (VP (VBZ 's) (VP (VBG looking) (PP (IN for) (NP (DT a) (JJR better) (NN job))))) (. .)),simple,she s looking for a better job .,dia sedang mencari pekerjaan yang lebih baik .
2269,Tom can't have done it by himself.,Tom tidak mungkin melakukannya seorang diri.,(S (NP (NNP Tom)) (VP (MD ca) (RB n't) (VP (VB have) (VP (VBN done) (NP (PRP it)) (PP (IN by) (NP (PRP himself)))))) (. .)),simple,tom can t have done it by himself .,tom tidak mungkin melakukannya seorang diri .
192,I am fed up with it.,Aku sudah jenuh akan hal itu.,(S (NP (PRP I)) (VP (VBP am) (VP (VBN fed) (PRT (RP up)) (PP (IN with) (NP (PRP it))))) (. .)),simple,i am fed up with it .,aku sudah jenuh akan hal itu .
4069,Be careful not to drive the wrong way on a one-way street.,Hati-hati jangan salah jalan pada jalur satu arah.,(S (VP (VB Be) (ADJP (JJ careful) (S (RB not) (VP (TO to) (VP (VB drive) (NP (DT the) (JJ wrong) (NN way)) (PP (IN on) (NP (DT a) (NML (CD one) (HYPH -) (NN way)) (NN street)))))))) (. .)),simple,be careful not to drive the wrong way on a one way street .,hati hati jangan salah jalan pada jalur satu arah .
567,How's life in Australia?,Bagaimana kehidupan di Australia?,(SBARQ (WHADVP (WRB How)) (SQ (VBZ 's) (NP (NP (NN life)) (PP (IN in) (NP (NNP Australia))))) (. ?)),simple,how s life in australia ?,bagaimana kehidupan di australia ?
2476,You should make use of this chance.,Kamu harus memanfaatkan kesempatan ini.,(S (NP (PRP You)) (VP (MD should) (VP (VB make) (NP (NN use)) (PP (IN of) (NP (DT this) (NN chance))))) (. .)),simple,you should make use of this chance .,kamu harus memanfaatkan kesempatan ini .
2666,I tried to put an end to the quarrel.,Aku berusaha untuk menghentikan pertengkaran itu.,(S (NP (PRP I)) (VP (VBD tried) (S (VP (TO to) (VP (VB put) (NP (DT an) (NN end)) (PP (IN to) (NP (DT the) (NN quarrel))))))) (. .)),simple,i tried to put an end to the quarrel .,aku berusaha untuk menghentikan pertengkaran itu .
6,Go to sleep.,Pergilah tidur.,(S (VP (VB Go) (PP (IN to) (NP (NN sleep)))) (. .)),simple,go to sleep .,pergilah tidur .
932,They have plenty of money.,Mereka punya banyak uang.,(S (NP (PRP They)) (VP (VBP have) (NP (NP (NN plenty)) (PP (IN of) (NP (NN money))))) (. .)),simple,they have plenty of money .,mereka punya banyak uang .
3559,We must learn to live in harmony with nature.,Kita harus belajar untuk hidup selaras bersama alam.,(S (NP (PRP We)) (VP (MD must) (VP (VB learn) (S (VP (TO to) (VP (VB live) (PP (IN in) (NP (NP (NN harmony)) (PP (IN with) (NP (NN nature)))))))))) (. .)),simple,we must learn to live in harmony with nature .,kita harus belajar untuk hidup selaras bersama alam .
439,Call me at this number.,Hubungi saya di nomor ini.,(S (VP (VB Call) (NP (PRP me)) (PP (IN at) (NP (DT this) (NN number)))) (. .)),simple,call me at this number .,hubungi saya di nomor ini .
289,Nobody listens to us.,Tidak ada yang mendengarkan kami.,(S (NP (NN Nobody)) (VP (VBZ listens) (PP (IN to) (NP (PRP us)))) (. .)),simple,nobody listens to us .,tidak ada yang mendengarkan kami .
3155,It's on the first floor of that building.,Itu ada di lantai satu dari bangunan itu.,(S (NP (PRP It)) (VP (VBZ 's) (PP (IN on) (NP (NP (DT the) (JJ first) (NN floor)) (PP (IN of) (NP (DT that) (NN building)))))) (. .)),simple,it s on the first floor of that building .,itu ada di lantai satu dari bangunan itu .
3245,I like cold weather more than hot weather.,Aku lebih suka cuaca dingin daripada cuaca panas.,(S (NP (PRP I)) (VP (VBP like) (NP (JJ cold) (NN weather)) (ADVP (ADVP (RBR more)) (PP (IN than) (NP (JJ hot) (NN weather))))) (. .)),simple,i like cold weather more than hot weather .,aku lebih suka cuaca dingin daripada cuaca panas .
1281,Why didn't you listen to me?,Kenapa kamu tidak mendengarkanku?,(SBARQ (WHADVP (WRB Why)) (SQ (VBD did) (RB n't) (NP (PRP you)) (VP (VB listen) (PP (IN to) (NP (PRP me))))) (. ?)),simple,why didn t you listen to me ?,kenapa kamu tidak mendengarkanku ?
4228,Tom had to read the sign on the door three times before he understood it.,Tom harus membaca petunjuk di pintu tiga kali untuk mengerti isi petunjuk itu.,(S (NP (NNP Tom)) (VP (VBD had) (S (VP (TO to) (VP (VB read) (NP (NP (DT the) (NN sign)) (PP (IN on) (NP (DT the) (NN door)))) (NP (CD three) (NNS times)) (SBAR (IN before) (S (NP (PRP he)) (VP (VBD understood) (NP (PRP it))))))))) (. .)),complex,tom had to read the sign on the door three times before he understood it .,tom harus membaca petunjuk di pintu tiga kali untuk mengerti isi petunjuk itu .
1180,I'm not used to the job yet.,Saya belum terbiasa dengan pekerjaan itu.,(S (NP (PRP I)) (VP (VBP 'm) (RB not) (VP (VBN used) (PP (IN to) (NP (DT the) (NN job))) (ADVP (RB yet)))) (. .)),simple,i m not used to the job yet .,saya belum terbiasa dengan pekerjaan itu .
2857,Tom tried to push Mary into the water.,Tom mencoba mendorong Mary kedalam air.,(S (NP (NNP Tom)) (VP (VBD tried) (S (VP (TO to) (VP (VB push) (NP (NNP Mary)) (PP (IN into) (NP (DT the) (NN water))))))) (. .)),simple,tom tried to push mary into the water .,tom mencoba mendorong mary kedalam air .
3275,This book contains a lot of short stories.,Buku ini berisi banyak cerita pendek.,(S (NP (DT This) (NN book)) (VP (VBZ contains) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (JJ short) (NNS stories))))) (. .)),simple,this book contains a lot of short stories .,buku ini berisi banyak cerita pendek .
1691,I want to be more than friends.,Saya ingin menjadi lebih dari sekedar teman.,(S (NP (PRP I)) (VP (VBP want) (S (VP (TO to) (VP (VB be) (NP (ADJP (JJR more)) (PP (IN than) (NP (NNS friends)))))))) (. .)),simple,i want to be more than friends .,saya ingin menjadi lebih dari sekedar teman .
3868,The girl was badly injured in the traffic accident.,Gadis itu telah terluka parah dalam kecelakaan lalu-lintas.,(S (NP (DT The) (NN girl)) (VP (VBD was) (ADVP (RB badly)) (VBN injured) (PP (IN in) (NP (DT the) (NN traffic) (NN accident)))) (. .)),simple,the girl was badly injured in the traffic accident .,gadis itu telah terluka parah dalam kecelakaan lalu lintas .
2292,Tom was raised in a small village.,Tom dibesarkan di sebuah desa kecil.,(S (NP (NNP Tom)) (VP (VBD was) (VP (VBN raised) (PP (IN in) (NP (DT a) (JJ small) (NN village))))) (. .)),simple,tom was raised in a small village .,tom dibesarkan di sebuah desa kecil .
3584,I had to make a list of things I needed to do.,Aku harus membuat daftar tentang hal apa saja yang perlu aku lakukan.,(S (NP (PRP I)) (VP (VBD had) (S (VP (TO to) (VP (VB make) (NP (NP (DT a) (NN list)) (PP (IN of) (NP (NP (NNS things)) (SBAR (S (NP (PRP I)) (VP (VBD needed) (S (VP (TO to) (VP (VB do)))))))))))))) (. .)),complex,i had to make a list of things i needed to do .,aku harus membuat daftar tentang hal apa saja yang perlu aku lakukan .
