,English,Indonesian,ParseTree,Num_PPs,Complexity
12,Look out!,CC-BY 2.0 (France) Attribution: tatoeba.org #20719 (CK) & #331483 (umarsaid),(S (VP (VB Look) (PRT (RP out))) (. !)),1,simple
13,She left.,CC-BY 2.0 (France) Attribution: tatoeba.org #3258750 (CH) & #10970390 (HAGNi),(S (NP (PRP She)) (VP (VBD left)) (. .)),1,simple
14,Sit down!,CC-BY 2.0 (France) Attribution: tatoeba.org #1349166 (sacredceltic) & #7837916 (Bilmanda),(S (VP (VB Sit) (PRT (RP down))) (. !)),1,simple
15,Sit down.,CC-BY 2.0 (France) Attribution: tatoeba.org #1553397 (CK) & #7248491 (purichan),(S (VP (VB Sit) (ADVP (RP down))) (. .)),1,simple
16,Stand up!,CC-BY 2.0 (France) Attribution: tatoeba.org #325429 (CK) & #4689850 (Bilmanda),(S (VP (VB Stand) (PRT (RP up))) (. !)),1,simple
17,Stand up.,CC-BY 2.0 (France) Attribution: tatoeba.org #1573801 (donkirkby) & #4689854 (Bilmanda),(S (VP (VB Stand) (PRT (RP up))) (. .)),1,simple
18,What for?,CC-BY 2.0 (France) Attribution: tatoeba.org #24867 (CK) & #4556925 (dbahasa),(SBARQ (WHNP (WP What)) (IN for) (. ?)),1,simple
19,Bend down.,CC-BY 2.0 (France) Attribution: tatoeba.org #11904772 (CK) & #12729781 (eltohaga),(S (VP (VB Bend) (ADVP (RB down))) (. .)),1,simple
20,Calm down.,CC-BY 2.0 (France) Attribution: tatoeba.org #435575 (CK) & #2767468 (deel),(S (VP (VB Calm) (ADVP (RB down))) (. .)),1,simple
21,Chill out.,CC-BY 2.0 (France) Attribution: tatoeba.org #2951593 (CK) & #2767468 (deel),(S (VP (VB Chill) (PRT (RP out))) (. .)),1,simple
22,Cool down.,CC-BY 2.0 (France) Attribution: tatoeba.org #1860739 (CK) & #2767468 (deel),(S (VP (VB Cool) (ADVP (RB down))) (. .)),1,simple
23,Get a saw.,CC-BY 2.0 (France) Attribution: tatoeba.org #11929235 (CK) & #11929237 (Pacific),(S (VP (VB Get) (NP (DT a) (NN saw))) (. .)),1,simple
24,Go to bed.,CC-BY 2.0 (France) Attribution: tatoeba.org #2649250 (CK) & #4254820 (Bilmanda),(S (VP (VB Go) (PP (IN to) (NP (NN bed)))) (. .)),1,simple
25,He's a DJ.,CC-BY 2.0 (France) Attribution: tatoeba.org #1383444 (CK) & #7061855 (purichan),(S (NP (PRP He)) (VP (VBZ 's) (NP (DT a) (NN DJ))) (. .)),1,simple
26,I gave up.,CC-BY 2.0 (France) Attribution: tatoeba.org #2863162 (Amastan) & #11211337 (Pacific),(S (NP (PRP I)) (VP (VBD gave) (PRT (RP up))) (. .)),1,simple
27,I gave up.,CC-BY 2.0 (France) Attribution: tatoeba.org #2863162 (Amastan) & #11791496 (Pacific),(S (NP (PRP I)) (VP (VBD gave) (PRT (RP up))) (. .)),1,simple
28,I give up.,CC-BY 2.0 (France) Attribution: tatoeba.org #241200 (CK) & #11211337 (Pacific),(S (NP (PRP I)) (VP (VBP give) (PRT (RP up))) (. .)),1,simple
29,I give up.,CC-BY 2.0 (France) Attribution: tatoeba.org #241200 (CK) & #11791496 (Pacific),(S (NP (PRP I)) (VP (VBP give) (PRT (RP up))) (. .)),1,simple
30,I like it.,CC-BY 2.0 (France) Attribution: tatoeba.org #1520245 (ABChessel) & #4924449 (ciscas),(S (NP (PRP I)) (VP (VBP like) (NP (PRP it))) (. .)),1,simple
31,I'm a man.,CC-BY 2.0 (France) Attribution: tatoeba.org #580774 (CM) & #7838430 (Bilmanda),(S (NP (PRP I)) (VP (VBP 'm) (NP (DT a) (NN man))) (. .)),1,simple
32,I'm right.,CC-BY 2.0 (France) Attribution: tatoeba.org #321343 (CK) & #12348550 (Pacific),(S (NP (PRP I)) (VP (VBP 'm) (ADJP (JJ right))) (. .)),1,simple
33,It's near.,CC-BY 2.0 (France) Attribution: tatoeba.org #12248011 (CK) & #12248015 (Pacific),(S (NP (PRP It)) (VP (VBZ 's) (ADVP (RB near))) (. .)),1,simple
34,Move over.,CC-BY 2.0 (France) Attribution: tatoeba.org #1553407 (CK) & #8864698 (HAGNi),(S (VP (VB Move) (ADVP (RB over))) (. .)),1,simple
35,Move over.,CC-BY 2.0 (France) Attribution: tatoeba.org #1553407 (CK) & #8864700 (HAGNi),(S (VP (VB Move) (ADVP (RB over))) (. .)),1,simple
36,Of course!,CC-BY 2.0 (France) Attribution: tatoeba.org #433730 (CK) & #4345500 (Bilmanda),(ADVP (RB Of) (RB course) (. !)),1,simple
37,Of course.,CC-BY 2.0 (France) Attribution: tatoeba.org #433492 (CK) & #9989338 (henrywijaya001),(ADVP (RB Of) (RB course) (. .)),1,simple
38,Pipe down!,CC-BY 2.0 (France) Attribution: tatoeba.org #2821007 (sharptoothed) & #4345288 (Bilmanda),(S (VP (VB Pipe) (ADVP (RB down))) (. !)),1,simple
39,See above.,CC-BY 2.0 (France) Attribution: tatoeba.org #273621 (CM) & #10872020 (Sna),(S (VP (VB See) (ADVP (RB above))) (. .)),1,simple
40,See below.,CC-BY 2.0 (France) Attribution: tatoeba.org #25377 (CM) & #4556932 (dbahasa),(S (VP (VB See) (ADVP (RB below))) (. .)),1,simple
41,Time's up.,CC-BY 2.0 (France) Attribution: tatoeba.org #6611926 (Eccles17) & #11986058 (Pacific),(S (NP (NN Time)) (VP (VBZ 's) (ADVP (RP up))) (. .)),1,simple
42,Turn left.,CC-BY 2.0 (France) Attribution: tatoeba.org #464284 (lukaszpp) & #4410732 (Bilmanda),(S (VP (VB Turn) (ADVP (RB left))) (. .)),1,simple
43,Watch out!,CC-BY 2.0 (France) Attribution: tatoeba.org #375828 (megamanenm) & #331483 (umarsaid),(S (VP (VB Watch) (PRT (RP out))) (. !)),1,simple
44,What's up?,CC-BY 2.0 (France) Attribution: tatoeba.org #25164 (CK) & #5177558 (Bilmanda),(SBARQ (WHNP (WP What)) (SQ (VP (VBZ 's) (ADVP (RB up)))) (. ?)),1,simple
45,Come on in.,CC-BY 2.0 (France) Attribution: tatoeba.org #348107 (Zifre) & #11251707 (Pacific),(S (VP (VB Come) (PRT (RP on)) (ADVP (RB in))) (. .)),2,simple
46,Cut it out!,CC-BY 2.0 (France) Attribution: tatoeba.org #29900 (CK) & #4688325 (Bilmanda),(S (VP (VB Cut) (NP (PRP it)) (PRT (RP out))) (. !)),1,simple
47,Cut it out.,CC-BY 2.0 (France) Attribution: tatoeba.org #66732 (CK) & #4688326 (Bilmanda),(S (VP (VB Cut) (NP (PRP it)) (PRT (RP out))) (. .)),1,simple
48,Get a bowl.,CC-BY 2.0 (France) Attribution: tatoeba.org #11916790 (CK) & #11916809 (Pacific),(S (VP (VB Get) (NP (DT a) (NN bowl))) (. .)),1,simple
49,He is a DJ.,CC-BY 2.0 (France) Attribution: tatoeba.org #288669 (CK) & #7061855 (purichan),(S (NP (PRP He)) (VP (VBZ is) (NP (DT a) (NN DJ))) (. .)),1,simple
50,I am a man.,CC-BY 2.0 (France) Attribution: tatoeba.org #386704 (Mouseneb) & #7838430 (Bilmanda),(S (NP (PRP I)) (VP (VBP am) (NP (DT a) (NN man))) (. .)),1,simple
51,I am right.,CC-BY 2.0 (France) Attribution: tatoeba.org #801041 (vest) & #12348550 (Pacific),(S (NP (PRP I)) (VP (VBP am) (ADJP (JJ right))) (. .)),1,simple
52,I like art.,CC-BY 2.0 (France) Attribution: tatoeba.org #2245930 (CK) & #11171864 (Pacific),(S (NP (PRP I)) (VP (VBP like) (NP (NN art))) (. .)),1,simple
53,I like art.,CC-BY 2.0 (France) Attribution: tatoeba.org #2245930 (CK) & #11791517 (Pacific),(S (NP (PRP I)) (VP (VBP like) (NP (NN art))) (. .)),1,simple
54,I like him.,CC-BY 2.0 (France) Attribution: tatoeba.org #283629 (CK) & #4766879 (Bilmanda),(S (NP (PRP I)) (VP (VBP like) (NP (PRP him))) (. .)),1,simple
55,I like you.,CC-BY 2.0 (France) Attribution: tatoeba.org #410751 (CK) & #4924451 (ciscas),(S (NP (PRP I)) (VP (VBP like) (NP (PRP you))) (. .)),1,simple
56,I like you.,CC-BY 2.0 (France) Attribution: tatoeba.org #410751 (CK) & #4989824 (ciscas),(S (NP (PRP I)) (VP (VBP like) (NP (PRP you))) (. .)),1,simple
57,I'm a hero.,CC-BY 2.0 (France) Attribution: tatoeba.org #25509 (CK) & #12322457 (HAGNi),(S (NP (PRP I)) (VP (VBP 'm) (NP (DT a) (NN hero))) (. .)),1,simple
58,I'm a star.,CC-BY 2.0 (France) Attribution: tatoeba.org #11178089 (CK) & #11178096 (HAGNi),(S (NP (PRP I)) (VP (VBP 'm) (NP (DT a) (NN star))) (. .)),1,simple
59,I'm a star.,CC-BY 2.0 (France) Attribution: tatoeba.org #11178089 (CK) & #11178097 (HAGNi),(S (NP (PRP I)) (VP (VBP 'm) (NP (DT a) (NN star))) (. .)),1,simple
60,It's close.,CC-BY 2.0 (France) Attribution: tatoeba.org #2123611 (CK) & #12248015 (Pacific),(S (NP (PRP It)) (VP (VBZ 's) (ADJP (JJ close))) (. .)),1,simple
61,It's on me.,CC-BY 2.0 (France) Attribution: tatoeba.org #250231 (CK) & #8556092 (Jepang),(S (NP (PRP It)) (VP (VBZ 's) (PP (IN on) (NP (PRP me)))) (. .)),1,simple
62,Let Tom in.,CC-BY 2.0 (France) Attribution: tatoeba.org #2235853 (CK) & #8552773 (Jepang),(S (VP (VB Let) (S (NP (NNP Tom)) (PRT (RP in)))) (. .)),1,simple
63,Let Tom in.,CC-BY 2.0 (France) Attribution: tatoeba.org #2235853 (CK) & #8552776 (Jepang),(S (VP (VB Let) (S (NP (NNP Tom)) (PRT (RP in)))) (. .)),1,simple
64,Look at me.,CC-BY 2.0 (France) Attribution: tatoeba.org #262412 (CK) & #1212250 (windra),(S (VP (VB Look) (PP (IN at) (NP (PRP me)))) (. .)),1,simple
65,Look at me.,CC-BY 2.0 (France) Attribution: tatoeba.org #262412 (CK) & #11978135 (Pacific),(S (VP (VB Look) (PP (IN at) (NP (PRP me)))) (. .)),1,simple
66,Step on it!,CC-BY 2.0 (France) Attribution: tatoeba.org #786811 (hrin) & #1121100 (pryo),(S (VP (VB Step) (PP (IN on) (NP (PRP it)))) (. !)),1,simple
67,Step on it!,CC-BY 2.0 (France) Attribution: tatoeba.org #786811 (hrin) & #4556841 (dbahasa),(S (VP (VB Step) (PP (IN on) (NP (PRP it)))) (. !)),1,simple
68,Turn right.,CC-BY 2.0 (France) Attribution: tatoeba.org #464290 (lukaszpp) & #4410728 (Bilmanda),(S (VP (VB Turn) (ADVP (RB right))) (. .)),1,simple
69,Who's next?,CC-BY 2.0 (France) Attribution: tatoeba.org #2561317 (Hybrid) & #8539412 (Jepang),(SBARQ (WHNP (WP Who)) (SQ (VP (VBZ 's) (ADJP (JJ next)))) (. ?)),1,simple
70,Go to sleep.,CC-BY 2.0 (France) Attribution: tatoeba.org #453530 (saasmath) & #4254820 (Bilmanda),(S (VP (VB Go) (PP (IN to) (NP (NN sleep)))) (. .)),1,simple
71,Grab a seat.,CC-BY 2.0 (France) Attribution: tatoeba.org #2245528 (CK) & #7248491 (purichan),(S (VP (VB Grab) (NP (DT a) (NN seat))) (. .)),1,simple
72,Have a seat.,CC-BY 2.0 (France) Attribution: tatoeba.org #1553500 (CK) & #7248491 (purichan),(S (VP (VB Have) (NP (DT a) (NN seat))) (. .)),1,simple
73,He's a liar.,CC-BY 2.0 (France) Attribution: tatoeba.org #1522255 (erikspen) & #11281836 (Pacific),(S (NP (PRP He)) (VP (VBZ 's) (NP (DT a) (NN liar))) (. .)),1,simple
74,I like blue.,CC-BY 2.0 (France) Attribution: tatoeba.org #2245933 (CK) & #7062000 (purichan),(S (NP (PRP I)) (VP (VBP like) (NP (NN blue))) (. .)),1,simple
75,I like cats.,CC-BY 2.0 (France) Attribution: tatoeba.org #354379 (bourdu) & #4289088 (Bilmanda),(S (NP (PRP I)) (VP (VBP like) (NP (NNS cats))) (. .)),1,simple
76,I like math.,CC-BY 2.0 (France) Attribution: tatoeba.org #435452 (CK) & #11243261 (Pacific),(S (NP (PRP I)) (VP (VBP like) (NP (NN math))) (. .)),1,simple
77,I like this.,CC-BY 2.0 (France) Attribution: tatoeba.org #2245943 (CK) & #4766885 (Bilmanda),(S (NP (PRP I)) (VP (VBP like) (NP (DT this))) (. .)),1,simple
78,I like wine.,CC-BY 2.0 (France) Attribution: tatoeba.org #5828948 (CK) & #11578874 (Pacific),(S (NP (PRP I)) (VP (VBP like) (NP (NN wine))) (. .)),1,simple
79,I saw a doe.,CC-BY 2.0 (France) Attribution: tatoeba.org #10808868 (ddnktr) & #12182611 (Pacific),(S (NP (PRP I)) (VP (VBD saw) (NP (DT a) (NN doe))) (. .)),1,simple
80,I was a bum.,CC-BY 2.0 (France) Attribution: tatoeba.org #11927104 (CK) & #11927124 (Pacific),(S (NP (PRP I)) (VP (VBD was) (NP (DT a) (NN bum))) (. .)),1,simple
81,I was right.,CC-BY 2.0 (France) Attribution: tatoeba.org #2247509 (CK) & #12348550 (Pacific),(S (NP (PRP I)) (VP (VBD was) (ADJP (JJ right))) (. .)),1,simple
82,I'm a slave.,CC-BY 2.0 (France) Attribution: tatoeba.org #10204809 (shekitten) & #11797060 (Pacific),(S (NP (PRP I)) (VP (VBP 'm) (NP (DT a) (NN slave))) (. .)),1,simple
83,I'm a woman.,CC-BY 2.0 (France) Attribution: tatoeba.org #1122514 (Shishir) & #7024445 (purichan),(S (NP (PRP I)) (VP (VBP 'm) (NP (DT a) (NN woman))) (. .)),1,simple
84,Is Tom next?,CC-BY 2.0 (France) Attribution: tatoeba.org #4397622 (CK) & #13229049 (Arnoldus),(SQ (VBZ Is) (NP (NNP Tom)) (ADJP (JJ next)) (. ?)),1,simple
85,It's a joke.,CC-BY 2.0 (France) Attribution: tatoeba.org #3507563 (CK) & #7846593 (Bilmanda),(S (NP (PRP It)) (VP (VBZ 's) (NP (DT a) (NN joke))) (. .)),1,simple
86,It's a moth.,CC-BY 2.0 (France) Attribution: tatoeba.org #12179704 (CK) & #12180592 (Pacific),(S (NP (PRP It)) (VP (VBZ 's) (NP (DT a) (NN moth))) (. .)),1,simple
87,It's a ring.,CC-BY 2.0 (France) Attribution: tatoeba.org #12255968 (CK) & #12354328 (Pacific),(S (NP (PRP It)) (VP (VBZ 's) (NP (DT a) (NN ring))) (. .)),1,simple
88,Look at Tom.,CC-BY 2.0 (France) Attribution: tatoeba.org #2235864 (CK) & #3955869 (Bilmanda),(S (VP (VB Look) (PP (IN at) (NP (NNP Tom)))) (. .)),1,simple
89,Make a fist.,CC-BY 2.0 (France) Attribution: tatoeba.org #9853903 (NurseMeeks) & #9988314 (HAGNi),(S (VP (VB Make) (NP (DT a) (NN fist))) (. .)),1,simple
90,Take a rest.,CC-BY 2.0 (France) Attribution: tatoeba.org #19766 (CK) & #12755814 (Pacific),(S (VP (VB Take) (NP (DT a) (NN rest))) (. .)),1,simple
91,Take a seat.,CC-BY 2.0 (France) Attribution: tatoeba.org #1789253 (Spamster) & #7248491 (purichan),(S (VP (VB Take) (NP (DT a) (NN seat))) (. .)),1,simple
92,Tom gave up.,CC-BY 2.0 (France) Attribution: tatoeba.org #2236300 (CK) & #12354209 (Pacific),(S (NP (NNP Tom)) (VP (VBD gave) (PRT (RP up))) (. .)),1,simple
93,Tom's right.,CC-BY 2.0 (France) Attribution: tatoeba.org #2107585 (CK) & #12087280 (Pacific),(S (NP (NNP Tom)) (VP (VBZ 's) (ADJP (JJ right))) (. .)),1,simple
94,Turn on CNN.,CC-BY 2.0 (France) Attribution: tatoeba.org #2253827 (CK) & #7883173 (dbahasa),(S (VP (VB Turn) (PP (RP on) (NP (NNP CNN)))) (. .)),1,simple
95,What a bore!,CC-BY 2.0 (France) Attribution: tatoeba.org #2703273 (CK) & #4582656 (Bilmanda),(FRAG (WP What) (DT a) (NN bore) (. !)),1,simple
96,What a pity!,CC-BY 2.0 (France) Attribution: tatoeba.org #24885 (CK) & #4345296 (Bilmanda),(NP (WP What) (DT a) (NN pity) (. !)),1,simple
97,Who is next?,CC-BY 2.0 (France) Attribution: tatoeba.org #801609 (Eldad) & #8389274 (rizkisaid),(SBARQ (WHNP (WP Who)) (SQ (VP (VBZ is) (ADJP (JJ next)))) (. ?)),1,simple
98,Cut that out!,CC-BY 2.0 (France) Attribution: tatoeba.org #1849391 (CK) & #4689963 (Bilmanda),(S (VP (VB Cut) (NP (DT that)) (PRT (RP out))) (. !)),1,simple
99,I have a cat.,CC-BY 2.0 (France) Attribution: tatoeba.org #2399188 (amazighgirl) & #12134237 (HAGNi),(S (NP (PRP I)) (VP (VBP have) (NP (DT a) (NN cat))) (. .)),1,simple
100,I have a dog.,CC-BY 2.0 (France) Attribution: tatoeba.org #378502 (CK) & #10614823 (Joseagush),(S (NP (PRP I)) (VP (VBP have) (NP (DT a) (NN dog))) (. .)),1,simple
101,I keep a dog.,CC-BY 2.0 (France) Attribution: tatoeba.org #257248 (CK) & #4113337 (Bilmanda),(S (NP (PRP I)) (VP (VBP keep) (NP (DT a) (NN dog))) (. .)),1,simple
102,I need a pan.,CC-BY 2.0 (France) Attribution: tatoeba.org #11899400 (CK) & #11899404 (Pacific),(S (NP (PRP I)) (VP (VBP need) (NP (DT a) (NN pan))) (. .)),1,simple
103,I saw a deer.,CC-BY 2.0 (France) Attribution: tatoeba.org #12068013 (Pacific) & #12061385 (Pacific),(S (NP (PRP I)) (VP (VBD saw) (NP (DT a) (NN deer))) (. .)),1,simple
104,I saw a deer.,CC-BY 2.0 (France) Attribution: tatoeba.org #12068013 (Pacific) & #12076748 (Pacific),(S (NP (PRP I)) (VP (VBD saw) (NP (DT a) (NN deer))) (. .)),1,simple
105,I see a deer.,CC-BY 2.0 (France) Attribution: tatoeba.org #12061381 (CK) & #12061385 (Pacific),(S (NP (PRP I)) (VP (VBP see) (NP (DT a) (NN deer))) (. .)),1,simple
106,I see a deer.,CC-BY 2.0 (France) Attribution: tatoeba.org #12061381 (CK) & #12076748 (Pacific),(S (NP (PRP I)) (VP (VBP see) (NP (DT a) (NN deer))) (. .)),1,simple
107,I want to go.,CC-BY 2.0 (France) Attribution: tatoeba.org #1977717 (Spamster) & #3335158 (Bilmanda),(S (NP (PRP I)) (VP (VBP want) (S (VP (TO to) (VP (VB go))))) (. .)),1,simple
108,I was let in.,CC-BY 2.0 (France) Attribution: tatoeba.org #11927150 (CK) & #11927163 (Pacific),(S (NP (PRP I)) (VP (VBD was) (VP (VBN let) (PRT (RP in)))) (. .)),1,simple
109,I'm a doctor.,CC-BY 2.0 (France) Attribution: tatoeba.org #256018 (CK) & #12392763 (HAGNi),(S (NP (PRP I)) (VP (VBP 'm) (NP (DT a) (NN doctor))) (. .)),1,simple
110,I'm a person.,CC-BY 2.0 (France) Attribution: tatoeba.org #433599 (CM) & #7838431 (Bilmanda),(S (NP (PRP I)) (VP (VBP 'm) (NP (DT a) (NN person))) (. .)),1,simple
111,I'm worn out.,CC-BY 2.0 (France) Attribution: tatoeba.org #39824 (CK) & #7846658 (Bilmanda),(S (NP (PRP I)) (VP (VBP 'm) (VP (VBN worn) (PRT (RP out)))) (. .)),1,simple
112,It was a lie.,CC-BY 2.0 (France) Attribution: tatoeba.org #2549767 (CK) & #4726782 (Bilmanda),(S (NP (PRP It)) (VP (VBD was) (NP (DT a) (NN lie))) (. .)),1,simple
113,Jump over it.,CC-BY 2.0 (France) Attribution: tatoeba.org #2744965 (sharptoothed) & #10273333 (HAGNi),(S (VP (VB Jump) (PP (IN over) (NP (PRP it)))) (. .)),1,simple
114,Knock it off.,CC-BY 2.0 (France) Attribution: tatoeba.org #2249513 (CK) & #4688326 (Bilmanda),(S (VP (VB Knock) (NP (PRP it)) (PRT (RP off))) (. .)),1,simple
115,Listen to me.,CC-BY 2.0 (France) Attribution: tatoeba.org #1479370 (AsliAbbasi) & #12198246 (Pacific),(S (VP (VB Listen) (PP (IN to) (NP (PRP me)))) (. .)),1,simple
116,Listen to me.,CC-BY 2.0 (France) Attribution: tatoeba.org #1479370 (AsliAbbasi) & #12198247 (Pacific),(S (VP (VB Listen) (PP (IN to) (NP (PRP me)))) (. .)),1,simple
117,Look at this.,CC-BY 2.0 (France) Attribution: tatoeba.org #1998219 (CK) & #10807104 (HAGNi),(S (VP (VB Look) (PP (IN at) (NP (DT this)))) (. .)),1,simple
118,Stay at home.,CC-BY 2.0 (France) Attribution: tatoeba.org #591205 (CK) & #8627409 (HAGNi),(S (VP (VB Stay) (PP (IN at) (NP (NN home)))) (. .)),1,simple
119,Thanks a lot.,CC-BY 2.0 (France) Attribution: tatoeba.org #2057655 (nava) & #3363322 (dbahasa),(NP (NNS Thanks) (NP (DT a) (NN lot)) (. .)),1,simple
120,Thanks a lot.,CC-BY 2.0 (France) Attribution: tatoeba.org #2057655 (nava) & #4701325 (Bilmanda),(NP (NNS Thanks) (NP (DT a) (NN lot)) (. .)),1,simple
121,That's right!,CC-BY 2.0 (France) Attribution: tatoeba.org #433490 (CK) & #4345508 (Bilmanda),(S (NP (DT That)) (VP (VBZ 's) (ADJP (JJ right))) (. !)),1,simple
122,That's right.,CC-BY 2.0 (France) Attribution: tatoeba.org #1216015 (AlanRominger) & #11934238 (Pacific),(S (NP (DT That)) (VP (VBZ 's) (ADJP (JJ right))) (. .)),1,simple
123,Tom is right.,CC-BY 2.0 (France) Attribution: tatoeba.org #2203295 (CK) & #12087280 (Pacific),(S (NP (NNP Tom)) (VP (VBZ is) (ADJP (JJ right))) (. .)),1,simple
124,Tom threw up.,CC-BY 2.0 (France) Attribution: tatoeba.org #6645792 (CK) & #11519833 (Pacific),(S (NP (NNP Tom)) (VP (VBD threw) (PRT (RP up))) (. .)),1,simple
125,What's a UFO?,CC-BY 2.0 (France) Attribution: tatoeba.org #9865290 (CK) & #3864866 (orion17),(SBARQ (WHNP (WP What)) (SQ (VP (VBZ 's) (NP (DT a) (NNP UFO)))) (. ?)),1,simple
126,Are you a man?,CC-BY 2.0 (France) Attribution: tatoeba.org #11894377 (CK) & #12742598 (eltohaga),(SQ (VBP Are) (NP (PRP you)) (NP (DT a) (NN man)) (. ?)),1,simple
127,Are you a man?,CC-BY 2.0 (France) Attribution: tatoeba.org #11894377 (CK) & #12742601 (eltohaga),(SQ (VBP Are) (NP (PRP you)) (NP (DT a) (NN man)) (. ?)),1,simple
128,Come back now.,CC-BY 2.0 (France) Attribution: tatoeba.org #2245194 (CK) & #3986836 (User65345),(S (VP (VB Come) (ADVP (RB back)) (ADVP (RB now))) (. .)),1,simple
129,Don't give up.,CC-BY 2.0 (France) Attribution: tatoeba.org #1841194 (CK) & #11901155 (Pacific),(S (VP (VB Do) (RB n't) (VP (VB give) (PRT (RP up)))) (. .)),1,simple
130,Don't go away.,CC-BY 2.0 (France) Attribution: tatoeba.org #2245345 (CK) & #2763947 (Bilmanda),(S (VP (VB Do) (RB n't) (VP (VB go) (ADVP (RB away)))) (. .)),1,simple
131,Get over here.,CC-BY 2.0 (France) Attribution: tatoeba.org #3512382 (CK) & #3864928 (orion17),(S (VP (VB Get) (ADVP (RB over)) (RB here)) (. .)),1,simple
132,Give it to me.,CC-BY 2.0 (France) Attribution: tatoeba.org #1241198 (xellugis) & #2762853 (Bilmanda),(S (VP (VB Give) (NP (PRP it)) (PP (IN to) (NP (PRP me)))) (. .)),1,simple
133,He shot at me.,CC-BY 2.0 (France) Attribution: tatoeba.org #71962 (CK) & #4323188 (Bilmanda),(S (NP (PRP He)) (VP (VBD shot) (PP (IN at) (NP (PRP me)))) (. .)),1,simple
134,Hide in there.,CC-BY 2.0 (France) Attribution: tatoeba.org #11956988 (zogwarg) & #12829760 (HAGNi),(S (VP (VB Hide) (ADVP (RB in) (RB there))) (. .)),1,simple
135,I am a Muslim.,CC-BY 2.0 (France) Attribution: tatoeba.org #789910 (sestersparrow) & #11418755 (Pacific),(S (NP (PRP I)) (VP (VBP am) (NP (DT a) (NNP Muslim))) (. .)),1,simple
136,I ate a donut.,CC-BY 2.0 (France) Attribution: tatoeba.org #5858056 (CK) & #12093480 (Pacific),(S (NP (PRP I)) (VP (VBD ate) (NP (DT a) (NN donut))) (. .)),1,simple
137,I have a home.,CC-BY 2.0 (France) Attribution: tatoeba.org #1786134 (gleki) & #5018217 (Bilmanda),(S (NP (PRP I)) (VP (VBP have) (NP (DT a) (NN home))) (. .)),1,simple
138,I have a plan.,CC-BY 2.0 (France) Attribution: tatoeba.org #2358779 (CK) & #12543469 (HAGNi),(S (NP (PRP I)) (VP (VBP have) (NP (DT a) (NN plan))) (. .)),1,simple
139,I have a twin.,CC-BY 2.0 (France) Attribution: tatoeba.org #2252512 (CK) & #4733880 (Bilmanda),(S (NP (PRP I)) (VP (VBP have) (NP (DT a) (NN twin))) (. .)),1,simple
140,I have to eat.,CC-BY 2.0 (France) Attribution: tatoeba.org #2650958 (CK) & #11543224 (HAGNi),(S (NP (PRP I)) (VP (VBP have) (S (VP (TO to) (VP (VB eat))))) (. .)),1,simple
141,I like apples.,CC-BY 2.0 (France) Attribution: tatoeba.org #262240 (CK) & #10064188 (HAGNi),(S (NP (PRP I)) (VP (VBP like) (NP (NNS apples))) (. .)),1,simple
142,I like coffee.,CC-BY 2.0 (France) Attribution: tatoeba.org #3524072 (robbieheslop) & #11227101 (Pi31415i),(S (NP (PRP I)) (VP (VBP like) (NP (NN coffee))) (. .)),1,simple
